Name,Description,stats,gold,tags,plaintext
,,,,,
Boots of Speed,<groupLimit>Limited to 1 pair of boots.</groupLimit><br><br><unique>UNIQUE Passive - Enhanced Movement:</unique> +25 Movement Speed,{'FlatMovementSpeedMod': 25},"{'base': 300, 'purchasable': True, 'total': 300, 'sell': 210}",['Boots'],Slightly increases Movement Speed
,,,,,
Faerie Charm,<stats><mana>+25% Base Mana Regen </mana></stats>,{},"{'base': 125, 'purchasable': True, 'total': 125, 'sell': 88}",['ManaRegen'],Slightly increases Mana Regen
,,,,,
Rejuvenation Bead,<stats>+50% Base Health Regen </stats>,{},"{'base': 150, 'purchasable': True, 'total': 150, 'sell': 105}",['HealthRegen'],Slightly increases Health Regen
,,,,,
Giant's Belt,<stats>+380 Health</stats>,{'FlatHPPoolMod': 380},"{'base': 600, 'purchasable': True, 'total': 1000, 'sell': 700}",['Health'],Greatly increases Health
,,,,,
Cloak of Agility,<stats>+25% Critical Strike Chance</stats>,{'FlatCritChanceMod': 0.25},"{'base': 800, 'purchasable': True, 'total': 800, 'sell': 560}",['CriticalStrike'],Increases critical strike chance
,,,,,
Blasting Wand,<stats>+40 Ability Power</stats>,{'FlatMagicDamageMod': 40},"{'base': 850, 'purchasable': True, 'total': 850, 'sell': 595}",['SpellDamage'],Moderately increases Ability Power
,,,,,
Sapphire Crystal,<stats><mana>+250 Mana</mana></stats>,{'FlatMPPoolMod': 250},"{'base': 350, 'purchasable': True, 'total': 350, 'sell': 245}",['Mana'],Increases Mana
,,,,,
Ruby Crystal,<stats>+150 Health</stats>,{'FlatHPPoolMod': 150},"{'base': 400, 'purchasable': True, 'total': 400, 'sell': 280}",['Health'],Increases Health
,,,,,
Cloth Armor,<stats>+15 Armor</stats>,{'FlatArmorMod': 15},"{'base': 300, 'purchasable': True, 'total': 300, 'sell': 210}",['Armor'],Slightly increases Armor
,,,,,
Chain Vest,<stats>+40 Armor</stats>,{'FlatArmorMod': 40},"{'base': 500, 'purchasable': True, 'total': 800, 'sell': 560}",['Armor'],Greatly increases Armor
,,,,,
