summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
,,,,,,,,,
jMg-0v8ASurM_wzPJUM6HSzS1hgSniogWFjptLYC01n9uwx5,sYLydia,147,I,57,35,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
AcBpYPkI3436v3Ye1Ei6KXMLBYsTjX99XYaWGtYA-ipowK4,DarkChaosYásuo,50,I,175,149,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
raPyiweSUjfHUkjyX_zdpgqODu-BnRgzY_rBvS4TmmOgyxrR,Kral XnS,15,I,158,154,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
AdiHZxeSBijcegFYV80-_5M_FQS_5i2_8nmE7DUaWCUVq-4,OTZ Wrongo,167,I,62,49,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
WhfygoGRPB3nVtp933_CByyuezEo2lV3jIxCviKb-M4AaW8,silkysmath,57,I,338,329,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,
Kbl8AUlGLqzwpX11IhG_HtLi9qWQhPLD0ydtkGatPsxYOtCa,Mirri,39,I,108,86,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
AVzKGPYbuD2i6htMfbZx1Tjy4qdNi4S79I_AqCs_KuS3Uia_8FOpqOuv2A,11 CSM,263,I,62,47,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
X_BGlbecKjKy2aXUAXpYkp6_g-bp3q1brYTj0s03_wVWjmiP,Cigar in mauf,172,I,222,211,TRUE,FALSE,FALSE,FALSE
,,,,,,,,,
ocR6r1vSmPvEChoS6Zaq3b_bBTCsP_5GGlYQwFY3sFXx6XogA-rHefyapA,RAAD Instinct,0,I,23,21,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
#NAME?,ILoveKakper,45,I,96,89,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,
vrXjgKpo-cqeijgTN-6_-fgOhvkXuRnNiqZkLwkJVepMBMsX,chuyen,1,I,18,6,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
WnYfzgmOPR3Zl-t3zQ46ZVohjhFZ984d6zzG1HHwUf9FTOk,13145408,37,I,59,50,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
zZn3ADcoSt3sszlbw-hQN4bNn917hfo5f87d2YSt8tdA3RFj,Depravato,146,I,91,86,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
vXt8oG4ARbU_hSsl_QN6aZ7zMlb6iEaJ8-RrvsxcUbAiQys,SlimyDevil,0,I,296,295,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
M8ps3YTya1lmi8vPLCkaQOuA4oSKNOB43vmwYJ6ebIVuhPY,Jakub Rokicki ,234,I,66,50,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,
mtGx1W5bqdHHsS90JQSRQXJmXWXpr7dr2zI2DFDjpFYm_6c,β boy,1,I,68,53,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,
OM8sEu63C4pZu5PLcwYlbY78KaREpv_TrSfO48t9vIbS1o4,SidonSidonSidon,215,I,82,77,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
Yo7zvI9-2oNnSRF1y_NM-GuhqtudaRsZIGUUkWmtLNXQ3t88,Zαηαrkαηd,1,I,75,51,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,
3trL4y8n2U-FD5e9bSyC1heLKQH0DuMHi5LrJsJzMUuYrAU,Ox Vactator,15,I,83,78,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
JUHtONP-venPVynAfGtIsOqeECA98AXwCzWD4Jz8dKFH1cdS,Weakside Rebel,92,I,31,21,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
3Tlbez_QJ9_u2mFRzUqVSnjg3yrVWz1rivyIRkGxieHEKl4,Schamhaarprophet,68,I,72,63,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
xYRgehr3YoIeTiT8HP1XaNPViiJ4QKbbUV4ZCORpEBsnCK-x,Ansigtssmerte ,62,I,68,57,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,
M7vAMh9wpH8eMb0RtrAd6Gz8bGOh2f5YkFDjQRdNEp-BlgA,Young Wunna,2,I,144,144,TRUE,FALSE,FALSE,FALSE
,,,,,,,,,
HOdQ-W-9WgTLNU_po7vCe1Deiz0HKv3AEO8SvBzDNKxxxIk,yzh QAQ,108,I,82,55,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
