,0,1,2,3
0,UWCzXPZRwN1qnK9IQBZivPjrjAlCdk9HQi1OPZEamNtn22A,just gap mid,DIAMOND,br1
1,H1SM1iWpPqvGbMAKxT_FlhYZNtMKXmPchbg8eVAWgOJaycY,O DEUS CAMARÃO,DIAMOND,br1
2,V0ukl3CqpjMTFsZ_TejHYD9JxACKNltI4qCpSeVYDz0cHaM,SouUmGuriBurro,DIAMOND,br1
3,ps0lxhw0c2EBzMpA2cb3kUvEulD0gJj-Uvd3UDVL8FUTSuM,Cabeludo e Sad,DIAMOND,br1
4,sbp2Um8J-dkkIFwDy4cysIN3fF7E39iJ4aKa3h61BHt6RxQ,Nikeira,DIAMOND,br1
5,_DBzob9HAoXcAk9FdaPkYyQVQo_587v6QB5sryN6v754zB8,Weaker Reborn,DIAMOND,br1
6,kLBXvq7qv8aAHGXNo8-JLTR5m7I63bmmrKM1LCx6bTI22fM,LectE,DIAMOND,br1
7,_34husdIqpIdmyRn-YkIq0WcjpbRp0skeQFoUY_5wBQbjXk,Gustavo Monza,DIAMOND,br1
8,8BX1CCNngte_C379s7mlF8Rgi4sfKHK70KRcfdIGVZ05dPQ,Doido de Melão,DIAMOND,br1
9,u--zzLAzZU6v3JjiY9RIEUIcXiOp9e2kN9_cB7HfdGrMMHA,SOLO BOLO,DIAMOND,br1
10,uLFb_UkZelQqpuhpRA7e5NZEh24CYDw4VlouLgPrV3FTLCI,Bruno H camisa27,DIAMOND,br1
11,NBmm_RkJKa0pZv9EHPaBZcqassMh97AieJPY8C2WqRYXOMo,AG Yuu,DIAMOND,br1
12,_zx8hgRhCOWwj-6pupAE-0ROj9ncZx9GrE1bec28LwhHWLY,arthur UGA UGA,DIAMOND,br1
13,qcsU4entxuxmwQIGhywmuJJz6S93VzCAREV3MTuiZ_etbYc,Beneteli,DIAMOND,br1
14,QT4NwEd0dN32zVC8he9Wzu_fFiBSeyxFnT8OmncHp5kVGNA,vti1,DIAMOND,br1
15,BaIrinki7t-7uS4v1t7Y9G7y2jX6is6kdyG1P1NzpBZtAYQ,Geógrafofo,DIAMOND,br1
16,4d7o-_x-Yt8hMkrQnqabAXHipAqsAAUf10VJV16TDvTYlb0,In Gloria Mori,DIAMOND,br1
17,xNOcII32MxfNt3rvLppl4jSEdFHaFtIUvMsceAuomiNRRY8,Marujo Bombado,DIAMOND,br1
18,o8NsTOKHiXQnlT4ycgBFshWvdnaRMMp-64V5HKj0Ri8sTRg,El SniperdelWest,DIAMOND,br1
19,yE06i91hHECR21kDyIlPBYwUNRqobj8j0FuQPh4iVC-1eB8,2jZ,DIAMOND,br1
20,HpFqFiuSbs7GMSn5D5apE4Xxtq5ASn-176F2KhCDg1JKVtU,Undeféated,DIAMOND,br1
21,KvIy3qG4ZBeJeNYB42bWqnIFgPJJDNT3teSqwBsR1TXnkRo,Jujutsu Kaisen,DIAMOND,br1
22,q_yxihgJ-gL_1GzQ-hqUkkIuTQYpbPmVBOz4LZcmWQgRFZ4,liko,DIAMOND,br1
23,7DKkV8dH1-fC_Gn5wXpLVH6biefQP-FleZmQ2eyQFVNQmuQ,27 04 03,DIAMOND,br1
24,iwpdw4m3q1NKsyGkJFQK2YU0UQGTNOnXDAAE-xkQR814pDo,Nicolaci,DIAMOND,br1
25,XkSp1L3AVSbfbDli_eTuCwmbCY_9h0v-FyAPNRjTYVskvmw,O Gato Galátco,DIAMOND,br1
26,i7LAEjlpOjBwJl5hnYZjHNm5u4dHPhoYHH-feUrnnHyWxc0,Patoshin,DIAMOND,br1
27,dxbcAt-0DU-TEeAG4S_FrUFm3-E7toVGNaHl88BS-Z3Udpo,mobile suit woe ,DIAMOND,br1
28,3KhyRG1hzLIAE02PnhuTQvkeFOVGxNM_R__bsGhPWE4tBdc,Instinct lee,DIAMOND,br1
29,-0NpZIFZb6vmQSUJLOialSAfRuvUo8Kla4YrtgsD9hC8OR8,EIo Job,DIAMOND,br1
30,mmGNFEmwLTrUVfqXTkEMG8XIyLl-rjsdW93ioIhxdjd70ZQ,high noon,DIAMOND,br1
31,kZS6IWKRAZzBogXlZpbPUypxXEGr3nTr3qJ8NvjbC6sjai0,Aragon,DIAMOND,br1
32,7Lo90yyhW_k_TbsK6-_-d_XoYASjzZq-DLjer3fVfurJsMI,zskyreedz,DIAMOND,br1
33,imm0KiBaYQh7w9UNjdX_TP3neVyLcZJrAj1uam5G6ERp1uI,sdd da marvada,DIAMOND,br1
34,EJi5VYB844MtpBInCQw68AyyjyLcEp_uOWrX6GkssVYS0qc,Dolly Raivoso ,DIAMOND,br1
35,FxHb5xLr2ciyP5LHRBfp5hH_89h7NBjvvcYhPchWjTwNqQc,Hakenn,DIAMOND,br1
36,emHA35TeEVznc3l04DwK0yqA3xJYA2lf-u_mblT1FevQ3os,sony the boy,DIAMOND,br1
37,arCSDukeMI8Y85mikvVzdizjDMnRax-BMQl2tTD3yoDULF4,Kradosblock,DIAMOND,br1
38,aY1Twh6_TA0UpnGn3AAYNEMo-n_Md9NrffAi1rdZ7X02K6s,Kr0ft,DIAMOND,br1
39,abCx2A_Gs1vSQHJkTCXyhSqc3pWDb-vhG4vPO-uSz_UxIlo,Zumo de Pomelo,DIAMOND,br1
40,03KTUvOo9Xm4YyodNENAQFMG2GxXquEIR9KNn0hYdcse6d0,as we cry,DIAMOND,br1
41,BXUXojQ7-kF-J4gtuDsZ_UGt34jBwzkSby8bR0EeDs21DtA,GSH Mephisto,DIAMOND,br1
42,8NVktEg4vD5uKSm9vzugKKC0Zn-jxG6RbrPgNK3wziHdJIg,     DANDER,DIAMOND,br1
43,iTa1AckyN5Z_N2YWZtgtr4n06x8z1hDplPHkSo3z_ftOg44,FreashFx,DIAMOND,br1
44,sYFu9lI_mjLoD3hqSxh6ECsAlU8HRu-PBafuoS3SqKL05kA,Mortal Blades,DIAMOND,br1
45,4r0cASAbh4Jx9UIGtf5QeskVdLaxp46dFAQSZma6-IyIw98,Burnerzzin,DIAMOND,br1
46,4Q8ikV1Vn_aRf45S-jIEdO0-QEpjZv1ZFLqzldj-AXNN_JE,KaGay,DIAMOND,br1
47,fz3xABb-mvSeVMOI6dVAGL_FKY0KP_JJCIGvZkXGtzYihfI,Pavanelli,DIAMOND,br1
48,kUnjlUEp2cp6AH1_t2HXG8FIvX5y8-sBsqe5vdQLFobsWOY,Spark2X,DIAMOND,br1
49,pvm_5licCJ6Qx6lLOpNrwfXP2E4ngkxvnhCtVpBGgyPD7D0,J7th,DIAMOND,br1
50,k6lV3pbZ2ZWckZEdwBCU_9BrR-x0fo6WDQ9qiKuxH5fiFw,anjxs,DIAMOND,br1
51,CfDjtBhJb8QEHoYBZsbl5wXzcR2wqUUBcUOM7XM4fU3T0w,Jewish jojo,DIAMOND,br1
52,MnTxqiRivVNLvhD_oDj507vTRH2Dik4Hm2HZLXHPow7rkg,Auronzinho,DIAMOND,br1
53,Yxz56DqKc7uo9Z0Ni1JfDIwv_CzO7UZ2tpWXDRyo13N9Vw,MonsterNWA,DIAMOND,br1
54,dpCxanZr_lXQYt-TM0xB3EruiJ2naTlGo03P7cqLWUX5Gg,Not Katagory 5,DIAMOND,br1
55,UYsYqLLbw3duUjZhX2P6tYMSVmyqUjNMxjPDjSPNWhyCog,FNX DaMatta,DIAMOND,br1
56,lgiPHDST9rr41HsLntKIeEXqXw5ckKMtLdfjXRpQf6TmxQ,insec nelas,DIAMOND,br1
57,dMYYS0tY_hCK5QbaYB2ALXh9OilNF0UfmapCSbEROiKwB2s,zZMLGZz,DIAMOND,br1
58,xrYKxsb8by5rRpMtHgsJs9wAQWffqDLWIJ8D4iMxXuH11w,TheFoxz,DIAMOND,br1
59,jK4lBnr4e_j70Qsr3T1NIoXTrVKq9_7vryuifBAYZgB4T-E,MoIho NeIes,DIAMOND,br1
60,KpBDpl6AQxZV5KXo6pdhbQDuolUoeA2mPYQmGHKlmPljdQ,Um Lindo Casal,DIAMOND,br1
61,ZwEYR5yF1G1xyVCTwClkYduqy-SQKJqlSOemudHQqPEWZw,Mamba Mentality1,DIAMOND,br1
62,QwRU0pmK7yuCL8zmUWwGpgBad-OrolugaN_BOn2PIggiiA,Tayut,DIAMOND,br1
63,9cca-hqcYSaTh3DA5Ey8G9k2SOc7ylBbVptf6P_5a9CUBQ,n3ry,DIAMOND,br1
64,uipKcbjo03yLdeHHSI9Y_qG3TalxVMYsXY79ozGAPA7m2w,CBA DO FUTURO,DIAMOND,br1
65,Lq_j9WfaevkUonaGgzMq2_CKGCP98UTUecmF_wbYW0uE4A,bboyodd,DIAMOND,br1
66,MVxMj6tZft6xXFFdy0nM3MrMwZ_q22claWosR-3dmt3V7B0,Julio Cesar M,DIAMOND,br1
67,qxoJMeS5LWDQWeRklw8XhokuKU5TMWKiEk_zlsvWSW0Scw,Zeal,DIAMOND,br1
68,L-A9eHHfjwUmTkYW3beByukbXcV1O7GbPNlBz7KTClKebw,Sïd,DIAMOND,br1
69,Y4Ddc0D-D-gyHCACv9lEvtMBYuzP9tGJiH8OxT_V1-Es0eY,Gwen ou Kalista,DIAMOND,br1
70,jaOPVTngibbDfFdbz87IkET2D4RAynT-EBwrrX-KXbbGFcw,Long Cat 4,DIAMOND,br1
71,iHRWkIAqsKJ2lz6et377VF0g_sRFhAoepmeiJz5baqwos24,02021172,DIAMOND,br1
72,dZ-415r-lEbJLKRywd7gAoiEPRips8hTMhUJcRn5DoS0XQ,better caII saul,DIAMOND,br1
73,UCJxtWDugZ9S40VJCbMOmZBW6GJhLfJVtTveJkhHsSF7SA,new journey,DIAMOND,br1
74,LjKdjYdwUW9kSqegFVq_D6lshDP44UbJcHDAg-_-JJTnTg,R l P,DIAMOND,br1
75,79F1JjDLPvQKUfNVyKQLvlQzQvxn5kqUNkLCf2TVlMKw1Ok,Martins MotoVlog,DIAMOND,br1
76,uHc1EZePQqNBZlywNYv2-pShDE5Z5Ui_hFWNAftvM8xLuA,Deft00,DIAMOND,br1
77,QBLCwmutzcGEJ9KO0M0SGKJKsu6aKOOwnFCuDSoEXhyOvg,Tresna is beck,DIAMOND,br1
78,dYxAr7NKlBjOXZXYUEMRz1F_t51BX67dg-ZqiuaHADROOO0,Biólogo Malvado,DIAMOND,br1
79,3dkEYGZ6dT3UfP9tWgN1xVoPt00SyGyIGEuOBmgJsp76eK4,hina ryu,DIAMOND,br1
80,eaiK6JUDQk-r_uKsKSw6Mv3LvEQTM_Urfej1blUnK4sFCw,Bombeiro Martelo,DIAMOND,br1
81,ev0d6-I4ecR4CIJ0rQ7jYc-6w1j5Y_bxFoCeesBmQ25zJw,I3runin,DIAMOND,br1
82,MvpBV-qtEdhjlbMUxq4FOYDsgh2Ht2ikm4vYgupbzCB9EDE,zStriven,DIAMOND,br1
83,omhBD35PudpMB81zqr2HgirHA5YT48R0ODZFdmH0Bnt7Ag,Rumble Bot,DIAMOND,br1
84,9yZSqeZZFxRWYRRCqSA9bJW-oc8FboqIBxmS_2Jhijio5A,Lokkzinho,DIAMOND,br1
85,aJmaPhCOLYvi8G80Tzit7aab4K23FhP0edoa4QwufN0Ec1U,FA Bronx ,DIAMOND,br1
86,LlIJJdYAS6iR1YZewiHWfHNa0zM0ZM6_76r0Xkh5p97MlMU,vVverto,DIAMOND,br1
87,rKOy1ETI2jUBIuYW1d3tQtXfJEnwTgdFrk19hxiddW-Pgw,Main Sovado,DIAMOND,br1
88,dDuaOlIFEkpiRMre2mGfGn2DOB2pCBMnZ6D8-z1_vuYlfQ,Cursed Past,DIAMOND,br1
89,wVWMdmGY1BkuVPeAnZ_bh5rjMkzqhp99ZMnMlU32IrlEkg,mkage,DIAMOND,br1
90,PmFp6fEiJz8iBRJ34tCHaapeYH8nyiVs63VwHJGdG286Zw,hyhyLove,DIAMOND,br1
91,O2wEwsvnB70W8jjwmF9nq0pcx-pDnvldlq7B2QTsy4FtTw,      march 23th,DIAMOND,br1
92,-ctIp5hFeSQ5tM-dV4qkAGFw2w4_58awOcfh--nOzutdag,Má ké tudo,DIAMOND,br1
93,5EO8ptuR10LkbDPvd15GOmGgdzXR_Nu15AwKUArZniTg7hc,PäïN,DIAMOND,br1
94,fB2OWkD2V2XWbOGpnUsfaxsf6sgraVWINeZC2cp59w3HQjU,just you wait,DIAMOND,br1
95,on48CmSisdIAwgI6mfJcmZBVmPRGYYYvQUerVl5rFwuLsQ,Mystão,DIAMOND,br1
96,_Ww6vxOqhUCIPq_wm3Wl45grkHlF2vHKzveF7p34uZPxgg,AtehNúPanos,DIAMOND,br1
97,oKfj27dUv3nqGpbfQHaOVB7JFYw2e1qyARqs9RvBXY9l0w,Soarinho,DIAMOND,br1
98,F3EEcGEi9sSkNJYw_oO2XawTXRQU78h_JJCXXAdm_32btg,SEKKER,DIAMOND,br1
99,V41VSdq9kGEKvAwrPeh5bUG5uZ9tBy8uWOqyKaTjVZ_Jh5g,Semi Gringo,DIAMOND,br1
100,QYB8A1yCvZ5N0VAja_Q_OQsuKL15aPYJTgzbv2oFv2FdtA,Talita Gabriela,DIAMOND,br1
101,obp6yPW0RaGKTXy85IfQahQwBOET9F6j1MPKoPkd2i8cS8M,pivete tem fal,DIAMOND,br1
102,CTHVb73hZlbwAYBinGXENlfAOjNZNpGcjNyaBp4-xn5mjhQ,kimzin irelia,DIAMOND,br1
103,uP9vtsUeM2NueseA1SZsKBiVVskNW1Is4nWky2wWnV-vHXY,KingHartsuz,DIAMOND,br1
